時間,設備,數值
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:01:48,SA-29/LED_LEVE,7
2024-10-12 14:28:33,SA-29/LED_LEVE,7
2024-10-12 16:10:14,SA-28/LED_LEVEL,6
2024-10-12 16:10:16,SA-28/LED_LEVEL,7
2024-10-12 16:10:17,SA-28/LED_LEVEL,9
2024-10-12 16:10:17,SA-28/LED_LEVEL,10
2024-10-12 16:10:19,SA-28/LED_LEVEL,8
2024-10-12 16:10:20,SA-28/LED_LEVEL,6
2024-10-12 16:10:21,SA-28/LED_LEVEL,5
2024-10-12 16:10:21,SA-28/LED_LEVEL,3
2024-10-12 16:10:22,SA-28/LED_LEVEL,2
2024-10-12 16:10:23,SA-28/LED_LEVEL,0
2024-10-12 16:10:27,SA-28/LED_LEVEL,1
2024-10-12 16:10:28,SA-28/LED_LEVEL,3
2024-10-12 16:10:29,SA-28/LED_LEVEL,5
2024-10-12 16:10:30,SA-28/LED_LEVEL,7
2024-10-12 16:10:30,SA-28/LED_LEVEL,8
2024-10-12 16:10:31,SA-28/LED_LEVEL,7
2024-10-12 16:10:31,SA-28/LED_LEVEL,3
2024-10-12 16:10:33,SA-28/LED_LEVEL,2
2024-10-12 16:10:33,SA-28/LED_LEVEL,1
2024-10-12 16:10:34,SA-28/LED_LEVEL,0
2024-10-12 16:10:35,SA-28/LED_LEVEL,1
2024-10-12 16:10:35,SA-28/LED_LEVEL,3
2024-10-12 16:10:36,SA-28/LED_LEVEL,4
2024-10-12 16:10:37,SA-28/LED_LEVEL,5
2024-10-12 16:10:39,SA-28/LED_LEVEL,6
2024-10-12 16:10:40,SA-28/LED_LEVEL,4
2024-10-12 16:10:40,SA-28/LED_LEVEL,3
2024-10-12 16:10:41,SA-28/LED_LEVEL,1
2024-10-12 16:10:42,SA-28/LED_LEVEL,0
2024-10-12 16:10:44,SA-28/LED_LEVEL,2
2024-10-12 16:10:45,SA-28/LED_LEVEL,3
2024-10-12 16:13:35,SA-28/LED_LEVEL,4
2024-10-12 16:13:36,SA-28/LED_LEVEL,6
2024-10-12 16:13:36,SA-28/LED_LEVEL,5
2024-10-12 16:13:37,SA-28/LED_LEVEL,4
2024-10-12 16:14:09,SA-28/LED_LEVEL,5
2024-10-12 16:14:09,SA-28/LED_LEVEL,6
2024-10-12 16:14:10,SA-28/LED_LEVEL,8
2024-10-12 16:14:10,SA-28/LED_LEVEL,9
2024-10-12 16:14:12,SA-28/LED_LEVEL,6
2024-10-12 16:14:14,SA-28/LED_LEVEL,2
2024-10-12 16:14:14,SA-28/LED_LEVEL,1
2024-10-12 16:14:15,SA-28/LED_LEVEL,0
2024-10-12 16:14:16,SA-28/LED_LEVEL,3
2024-10-12 16:14:16,SA-28/LED_LEVEL,4
2024-10-12 16:14:18,SA-28/LED_LEVEL,6
